SlNo,Qno.,Species Name,Number Ind
495,18,Hemidesmus indicus,6
496,18,Ichnocarpus frutescens,4
497,18,Sida rhombifolia,1
498,18,Ipomoea sps,2
499,18,Eupatorium odoratum,7
500,18,Stachytarpheta indica,1
501,18,Naragami aalata,7
502,18,Hemidesmus indicus,4
503,18,Ichnocarpus frutescens,4
504,18,Phalaenopsis imbricata,1
505,18,Hemidesmus indicus,4
506,18,Naragami aalata,5
507,18,Lepidagathis cuspidata,2
508,18,Hyptis suaveolens,9
509,18,Mimosa pudica,7
510,18,Sida alinifolia,2
511,18,Desmodium trifolium,1
512,18,Pterospermum diversifolia,1
513,18,Naragami aalata,20
514,18,Fern?,2
515,18,Hemidesmus indicus,10
516,18,Eupatorium odoratum,4
517,18,Hyptis suaveolens,1
518,18,Lantana camera,1
519,19,Clerodendrum viscosum,4
520,19,Stachytarpheta indica,11
521,19,Helicteres isora,2
522,19,Dimocarpus longan,1
523,19,Phaseolus trilobus,2
524,19,Phalaenopsis imbricata,11
525,19,Mimosa pudica,1
526,19,Spermacoce articularis,3
527,19,Phaseolus trilobus,6
528,19,Spermacoce articularis,11
529,19,Sida rhombifolia,1
530,19,Hibiscus furcatus,3
531,19,Hyptis suaveolens,1
532,19,Aporusa lindleyana,1
533,19,Clerodendrum viscosum,1
534,19,Stachytarpheta indica,2
535,19,Eupatorium odoratum,3
536,19,Hyptis suaveolens,4
537,19,Sida rhombifolia,2
538,19,Naragami aalata,1
539,19,Phalaenopsis imbricata,1
540,19,Lepidagathis cuspidata,10
541,19,Naragami aalata,6
542,19,Stachytarpheta indica,1
543,19,Justicia simplex,1
544,19,Hemidesmus indicus,2
545,19,Eupatorium odoratum,1
546,20,Aporusa lindleyana,1
547,20,Stachytarpheta indica,1
548,20,Eupatorium odoratum,6
549,20,Andrographis atropurpurea,2
550,20,Zizyphus oenoplia,1
551,20,Elephantopus scaber,1
552,20,Phalaenopsis imbricata,3
553,20,Glycosmis pentaphylla,2
554,20,Curculigo orchioides,1
555,20,Aporusa lindleyana,1
556,20,Cryptolepis buchanani,4
557,20,Glycosmis pentaphylla,9
